source,name,dob,desc,wikidata,email,vk,ig,fb,tw,yt,ok,sanctioned
96-767-6,Абрамян Ара Аршавирович,1957-05-15,"ЗАО ""Согласие"", президент.",,,,,,,,,
96-767-6,Авдиенко Виктор Борисович,1958-06-22,"государственное казенное учреждение Волгоградской области ""Центр спортивной подготовки по плаванию"", заместитель директора.",,,,,,,,,
96-767-6,Акиева Хава Магомедовна,1949-05-01,"Ингушский государственный университет, доцент кафедры философии.",,,,,,,,,
96-767-6,Акинфеев Игорь Владимирович,1986-04-08,"ПФК ЦСКА, спортсмен.",,,,,,,,,
96-767-6,Александров Анатолий Александрович,1951-04-07,"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Московский государственный технический университет имени Н.Э. Баумана"", ректор.",,,,,,,,,
96-767-6,Александров Эдуард Васильевич,1977-05-12,"государственное автономное учреждение культуры Республики Марий Эл ""Марийский национальный театр драмы имени М. Шкетана"", заместитель директора.",,,,,,,,,
96-767-6,Алиева Фазу Гамзатовна,1932-12-05,"ГУ ""Редакция журнала ""Женщина Дагестана"", главный редактор.",,,,,,,,,
96-767-6,Алипов Алексей Александрович,1975-08-07,"федеральное бюджетное учреждение центральной спортивной подготовки, спортсмен-инструктор по стендовой стрельбе.",,,,,,,,,
96-767-6,Аллахвердов Владимир Мнацаканович,1939-02-17,"государственное бюджетное учреждение культуры ""Ставропольский академический ордена ""Знак Почета"" театр драмы имени М.Ю. Лермонтова"", артист.",,,,,,,,,
96-767-6,Алмазов Николай Иванович,1927-11-23,"некоммерческая организация Региональное объединение работодателей ""Калужский Союз строителей"", председатель правления.",,,,,,,,,
96-767-6,Андриянов Андрей Владимирович,1981-04-15,"РОО ""Студенческий Союз МГУ имени М.В. Ломоносова"", председатель совета.",,,,,,,,,
96-767-6,Анисимов Валерий Филиппович,1951-08-31,"Президиум коллегии адвокатов Ханты-Мансийского автономного округа, председатель.",,,,,,,,,
96-767-6,Анопко Валентина Петровна,1948-06-20,"Астраханская региональная общественная организация ""Профессиональная сестринская ассоциация"", президент.",,,,,,,,,
96-767-6,Антимонова Марина Юрьевна,1966-06-14,"муниципальное медицинское бюджетное учреждение ""Детская городская клиническая больница №1 имени Н.Н. Ивановой"" городского округа Самары, главный врач.",,,,,,,,,
96-767-6,Антонова Ирина Александровна,1922-03-20,"ФГУК ""Государственный музей изобразительных искусств имени А.С. Пушкина"", директор.",,,,,,,,,
96-767-6,Антонович Константин Анатольевич,1977-08-24,"ООО ""Глобал-ЭмЭй"", коммерческий директор.",,,,,,,,,
96-767-6,Антошкин Николай Тимофеевич,1942-12-19,"Межрегиональное общественное объединение ""Клуб Героев Советского Союза, Героев Российской Федерации и полных кавалеров ордена Славы г. Москвы и Московской области"", председатель Правления.",,,,,,,,,
96-767-6,Апоян Согомон Айказович,1989-07-07,"Нижегородская государственная медицинская академия, врач-интерн кафедры лучевой диагностики.",,,,,,,,,
96-767-6,Артемова Ирина Юрьевна,1960-09-07,"ГБУ здравоохранения города Москвы городская поликлиника №42 Департамента здравоохранения г. Москвы, главный врач.",,,,,,,,,
96-767-6,Архипкин Сергей Петрович,1959-09-07,"ГБОУ кадетская школа-интернат №10 ""Московский кадетский корпус полиции"", директор.",,,,,,,,,
96-767-6,Аршавин Андрей Сергеевич,1981-05-29,спортсмен.,,,,,,,,,
96-767-6,Атласова Алена Николаевна,1970-04-13,"благотворительный фонд Организация информационной поддержки ""Праздник жизни"", директор.",,,,,,,,,
96-767-6,Афанасьев Вячеслав Юрьевич,1971-01-24,"ФГУП ГТРК ВГТРК ""Южный Урал"", продюсер ТВ и РВ программ.",,,,,,,,,
96-767-6,Африна Наталия Федоровна,1954-10-21,"Окружной совет Московской Федерации профсоюзов ЦАО города Москвы, председатель.",,,,,,,,,
96-767-6,Ашапатов Алексей Витальевич,1973-10-30,"ФГУ Центр спортивной подготовки сборных команд, спортсмен-инструктор.",,,,,,,,,
96-767-6,Бааль Эдуард Павлович,1950-10-26,"головная организация открытого акционерного общества ""Центр судоремонта ""Звездочка"", первый заместитель генерального директора — заместитель генерального директора по производству — начальник производственно-диспетчерского отдела.",,,,,,,,,
96-767-6,Бабин Владимир Петрович,1969-06-01,"ГКОУ СПО ""Курганский областной музыкальный колледж им. Д.Д. Шостаковича"", директор.",,,,,,,,,
96-767-6,Бабкина Надежда Георгиевна,1950-03-19,"государственное бюджетное учреждение культуры города Москвы ""Московский государственный музыкальный театр фольклора ""Русская песня"", художественный руководитель-директор.",,,,,,,,,
96-767-6,Багиров Эдуард Исмагилович,1975-10-25,"писатель, кинодраматург, кинопродюсер.",,,,,,,,,
96-767-6,Багненко Сергей Федорович,1957-09-22,"СПб НИИ СП им. И.И. Джанелидзе, директор.",,,,,,,,,
96-767-6,Багов Альберт Нурбиевич,1960-04-19,"МБУЗ ""Майкопская городская клиническая больница"", заведующий отделением общей хирургии.",,,,,,,,,
96-767-6,Багомедов Гусен Гаджиевич,1963-05-26,"муниципальное учреждение здравоохранения ""Городская детская больница"", заведующий травматологическим отделением.",,,,,,,,,
96-767-6,Базарова Татьяна Евгеньевна,1946-12-27,"ГБОУ СОШ №638, директор.",,,,,,,,,
96-767-6,Баранов Александр Александрович,1941-07-15,"Российская академия медицинских наук, вице-президент.",,,,,,,,,
96-767-6,Барбараш Леонид Семенович,1941-06-22,"МБУЗ ""Кемеровский кардиологический диспансер"", главный врач.",,,,,,,,,
96-767-6,Бариев Радик Абрарович,1961-07-31,"государственный летно-испытательный центр МО РФ (929 войсковая часть 15650), начальник.",,,,,,,,,
96-767-6,Бартминская Татьяна Мардамшановна,1955-06-29,"государственное бюджетное общеобразовательное учреждение Калининградской области кадетская школа-интернат ""Андрея Первозванного Кадетский морской корпус"", директор.",,,,,,,,,
96-767-6,Бартош Людмила Кузьминична,1944-11-27,"городская поликлиника №227 ЮВАО города Москвы, главный врач.",,,,,,,,,
96-767-6,Бахметьев Виталий Викторович,1961-08-12,"ОАО ""Магнитогорский металлургический комбинат"" (г. Магнитогорск), заместитель генерального директора по коммерции.",,,,,,,,,
96-767-6,Башмет Юрий Абрамович,1953-01-24,"Московская государственная консерватория, заведующий кафедрой.",,,,,,,,,
96-767-6,Бедина Татьяна Федоровна,1946-10-03,"ГАУК ""Амурский областной театр драмы"", директор.",,,,,,,,,
96-767-6,Белехов Юрий Николаевич,1952-02-06,"ГБОУ ""Центр психологомедикосоциального сопровождения"", директор.",,,,,,,,,
96-767-6,Белоброва Лариса Дмитриевна,1965-06-25,"государственное автономное учреждение культуры ""Приморский академический краевой драматический театр им. М. Горького"", актриса.",,,,,,,,,
96-767-6,Белоцерковская Екатерина Геннадиевна,1971-03-08,"муниципальное бюджетное общеобразовательное учреждение ""Гимназия №9"", учитель начальних классов.",,,,,,,,,
96-767-6,Беляев Анатолий Федорович,1951-10-02,"Владивостокский государственный медицинский университет, заведующий кафедрой реабилитологии и спортивной медицины.",,,,,,,,,
96-767-6,Беляева Елена Николаевна,1960-07-21,"муниципальное бюджетное общеобразовательное учреждение ""Гимназия №12 города Белгорода им. Ф.С. Хихлушки"", учитель английского языка.",,,,,,,,,
96-767-6,Берговская Ирина Николаевна,1978-01-16,"ФГБОУ ВПО ""Калужский государственный университет имени К.Э. Циолковского"", декан исторического факультета.",,,,,,,,,
96-767-6,Билялетдинов Динияр Ринатович,1985-02-27,спортсмен.,,,,,,,,,
96-767-6,Бирюкова Евгения Сергеевна,1938-10-26,пенсионер.,,,,,,,,,
96-767-6,Богатырев Евгений Анатольевич,1956-07-24,"государственное бюджетное учреждение культуры г. Москвы ""Государственный музей А.С. Пушкина"", директор.",,,,,,,,,
96-767-6,Богданова Светлана Валентиновна,1964-06-26,"МОУ гимназия № 1 имени Л.И. Белова, директор.",,,,,,,,,
96-767-6,Боголюбова Галина Васильевна,1949-12-01,"Славянский фонд России, президент фонда.",,,,,,,,,
96-767-6,Бодунова Алла Григорьевна,1941-02-03,пенсионер.,,,,,,,,,
96-767-6,Бойко Светлана Анатольевна,1972-04-13,"государственное образовательное учреждение Ростовской области дополнительного образования детей ""Специализированная детско-юношеская спортивная школа олимпийского резерва №11 имени Г. Шатворяна"", директор.",,,,,,,,,
96-767-6,Бокерия Леонид Антонович,1939-12-22,"Научный центр сердечно-сосудистой хирургии им. Бакулева РАМН, директор.",,,,,,,,,
96-767-6,Большакова Мария Артемовна,1949-07-01,"Общероссийская общественная организация ""Союз семей военнослужащих России"", председатель совета.",,,,,,,,,
96-767-6,Бондаренко Леонид Андреевич,1947-01-25,"Международная общественная организация бывших военнослужащих ""Марс-Меркурий"", президент.",,,,,,,,,
96-767-6,Бондарчук Федор Сергеевич,1967-05-09,"ООО ""Арт-Пикчерс Студия"", режиссер, продюсер.",,,,,,,,,
96-767-6,Борзенко Ольга Константиновна,1960-11-14,"ГБУК ""Культурный центр ""Митино"", руководитель.",,,,,,,,,
96-767-6,Борисов Сергей Ренатович,1953-12-26,"открытое акционерное общество ""Сбербанк России"", вице-президент по малому бизнесу.",,,,,,,,,
96-767-6,Боярский Михаил Сергеевич,1949-12-26,артист.,,,,,,,,,
96-767-6,Бубенок Елена Александровна,1964-11-01,"ООО ""Брянская телекомпания ""60 канал"", генеральный директор.",,,,,,,,,
96-767-6,Бугаев Сергей Анатольевич,1966-03-28,"Институт Нового Человека, председатель правления.",,,,,,,,,
96-767-6,Буздалин Виктор Иванович,1962-01-28,"Фонд содействия борьбе с незаконным оборотом наркотиков и реабилитации наркозависимых ""Жизнь без наркотиков"", исполнительный директор.",,,,,,,,,
96-767-6,Бурмистрова Светлана Викторовна,1966-05-05,"ГБУК г. Москвы ""ЦБС №1 ЮАО"" библиотека №258/1, заведующий библиотекой.",,,,,,,,,
96-767-6,Буров Николай Витальевич,1953-02-12,"ГУК ГМП ""Исаакиевский собор"", директор.",,,,,,,,,
96-767-6,Бурцев Сергей Александрович,1989-06-24,"ФГБОУ ""Самарский государственный университет"", аспирант кафедры гражданского процессуального и предпринимательского права.",,,,,,,,,
96-767-6,Буряк Людмила Анатольевна,1962-02-12,"Законодательное Собрание Ямало-Ненецкого автономного округа, помощник депутата.",,,,,,,,,
96-767-6,Бутман Игорь Михайлович,1961-10-27,"ГБУК ""Московский государственный джазовый оркестр под руководством Игоря Бутмана"", главный художественный руководитель.",,,,,,,,,
