source,name,dob,desc,wikidata,email,vk,ig,fb,tw,yt,ok,sanctioned
putin2018,Абисов Юрий Николаевич,,Помощник Главы Республики Крым по связям с правоохранительными органами. Бывший командир крымского отряда особого назначения «Беркут».,,,,,,,,,
putin2018,Авербух Илья Изяславич,,Российский фигурист. Заслуженный мастер спорта России. Автор театрализованных шоу на льду.,,,,,,,,,
putin2018,Аветисов Алексей Сергеевич,,"ФГБОУ ""Московский технологический университет"". Всероссийский центр координации, подготовки и переподготовки студенческих добровольных спасательных формирований, начальник центра.",,,,,,,,,
putin2018,Агафонова Любовь Викторовна,,"Государственное учреждение здравоохранения ""Липецкая областная клиническая больница"", главный врач.",,,,,,,,,
putin2018,Айдуллин Иван Ухливанович,,Мастер по капитальному ремонту скважин ОАО «Сургутнефтегаз». Герой Труда Российской Федерации.,,,,,,,,,
putin2018,Акинфеев Игорь Владимирович,,Спортсмен,,,,,,,,,
putin2018,Алекно Владимир Романович,,"Волейболист, заслуженный тренер России.",,,,,,,,,
putin2018,Александров Анатолий Александрович,,Ректор МГТУ им Н.Э.Баумана,,,,,,,,,
putin2018,Александров Владимир Леонидович,,"ФГБОУ ВО “Санкт-Петербургский государственный морской технический университет”, профессор кафедры технологии судостроения факультета кораблестроения и океанотехники, директор института морской техники и технологии.",,,,,,,,,
putin2018,Алешина Елена Николаевна,,"ГАУЗ КО ""Калужский областной специализированный центр инфекционных заболеваний и СПИД"", главный врач.",,,,,,,,,
putin2018,Алипов Алексей Александрович,,"Чемпион мира, олимпийский чемпион по стендовой стрельбе.",,,,,,,,,
putin2018,Алушкин Борис Кондулеевич,,"Пенсионер, в прошлом руководитель “Союза журналистов Республики Алтай”.",,,,,,,,,
putin2018,Амельченкова Ольга Николаевна,,"Председатель Центрального штаба ВОД ""ВОЛОНТЕРЫ ПОБЕДЫ"".",,,,,,,,,
putin2018,Ампилогова Валентина Борисовна,,"Областное государственное автономное учреждение культуры ""Магаданская областная универсальная научная библиотека имени А.С. Пушкина"", директор",,,,,,,,,
putin2018,Андреев Александр Вадимович,,Генеральный директор ОАО «Международный аэропорт «Уфа».,,,,,,,,,
putin2018,Анисимов Алексей Викторович,,"Руководитель исполкома Общероссийского общественного движения ""Народный фронт ""За Россию"".",,,,,,,,,
putin2018,Анопко Валентина Петровна,,Ассистент кафедры перинатологии с курсом сестринского дела государственного образовательного учреждения Астраханская государственная медицинская академия. Президент Астраханской региональной общественной организации «Профессиональная сестринская ассоциация».,,,,,,,,,
putin2018,Антипов Павел Юрьевич,,"ГОБУЗ ""Новгородская областная клиническая больница"", заведующий отделением травматологии.",,,,,,,,,
putin2018,Ануфриенкова Валентина Ивановна,,"Смоленская областная организация Профессионального союза работников здравоохранения Российской Федерации, председатель.",,,,,,,,,
putin2018,Аполихин Олег Иванович,,"Директор НИИ урологии и интервенционной радиологии им. Н.А.Лопаткина, филиал «НМИРЦ» Минздрава России.",,,,,,,,,
putin2018,Афанасов Геннадий Алексеевич,,"Региональный союз ""Тамбовское областное объединение организаций профсоюзов"", председатель.",,,,,,,,,
putin2018,Ахпашева Анна Вячеславовна,,"Специальный корреспондент, ведущая программы «Новости РТС и «Утро Хакасии» Автономного учреждения Республики Хакасия «ТВ  Центр «Хакасия», ТВ РТС.",,,,,,,,,
putin2018,Ашманов Игорь Станиславович,,Российский предприниматель в сфере информационных технологий.,,,,,,,,,
putin2018,Бабин Валерий Геннадьевич,,"ФГБОУ ВО ""Горно-алтайский государственный университет"", ректор.",,,,,,,,,
putin2018,Бабич Рушанна Юрьевна,,"Актриса Башкирского государственного молодежного театра, заслуженная артистка РФ.",,,,,,,,,
putin2018,Багринцев Вадим Валерьевич,,"Телерадиокомпания ""Орел"", редактор группы подготовки программ и выпуска службы информационных программ телевидения.",,,,,,,,,
putin2018,Базарова Алина Владимировна,,"Студентка ""Воронежского Государственного Университета"", председатель Молодёжного совета при Воронежской городской Думе.",,,,,,,,,
putin2018,Байметов Владимир Александрович,,"АОУ ДПО УР ""Институт развития образования"", ректор.",,,,,,,,,
putin2018,Бакулина Марина Олеговна,,"Индивидуальный предприниматель, руководитель Детского развивающего центра «Ступеньки». Президент Тюменской региональной Ассоциации детских развивающих центров, член Совета Губернатора Тюменской области по развитию и поддержке малого и среднего предпринимательства.",,,,,,,,,
putin2018,Балуев Александр Николаевич,,Актер театра и кино.,,,,,,,,,
putin2018,Бальжиров Баир Гвибалович,,"Пенсионер, основатель РОО “Ассоциация фермеров Республики Бурятия”.",,,,,,,,,
putin2018,Баранец Виктор Николаевич,,"Военный обозреватель газеты «Комсомольская правда», полковник в отставке.",,,,,,,,,
putin2018,Баранов Александр Иванович,,"Самарская областная общественная организация ""Союз генералов Самары"", председатель совета.",,,,,,,,,
putin2018,Баранова Вера Павловна,,"Краевое государственное автономное учреждение культуры “Красноярский государственный театр оперы и балета”, артистка-вокалистка.",,,,,,,,,
putin2018,Барбакова Людмила Михайловна,,"Международная ассоциация общественных организаций блокадников города-героя Ленинграда, первый вице-президент ассоциации.",,,,,,,,,
